artist,title,album,lyrics,explicit,explict,Artist,Title,Album,Lyrics
MC Rick,Tá Doida,Poder do Minerim,"Vai segurando, tá?
L da Vinte e MC Rick mais uma vez, tá ligado
Embraza piranha, é o beat do 2W

Ela foi embora, sei que sou o culpado
Devia ter avisado
Mas, eu juro, eu não comi ninguém

Eu te quero de volta
E será que ela volta?
Já saiu na revolta
Já falando que não é de ninguém

E tá doida
Pensa nos momentos bons também
Igual não vai encontrar, meu bem
Deixa eu te macetar
Vem sentando daquele jeito, pra não acabar

E tá doida
Pensa nos momentos bons também
Igual não vai encontrar, meu bem
Deixa eu te macetar
Vem sentando daquele jeito, pra não acabar
Pra não acabar

De rolê com os mano, sem destino
Nem o Waze localiza
Bebendo e fumando, curtindo com os amigo, ela me liga
Era só um churrasquin' tranquilo e virou briga
Sem dó, pegou suas coisa e sumiu da minha vida

Sua amiga fofoqueira conseguiu o que ela queria
Compartilhou a notícia
Rick voltou pra putaria

Voltei, porra!
Dessa vez por coisa boba
Mas puta não quer saber, puta quer chapar e vir na rola

L da Vinte mandou descer cinco Jack de maçã
Hoje é farra, vou deixar pra sofrer amanhã
Já bloqueei das redes, ela criou fake no Insta
Se descobre o endereço
Se descobre o endereço

Eu bloqueei das redes, ela criou fake no Insta
Se descobre o endereço
Vai lombrar a clandestina

Ei, vai lombrar a clandestina
Se descobre o endereço
Oh-oh-oh-oh

E tá doida
Pensa nos momentos bons também
Igual não vai encontrar, meu bem
Deixa eu te macetar
Vem sentando daquele jeito, pra não acabar

E tá doida
Pensa nos momentos bons também
Igual não vai encontrar, meu bem
Deixa eu te macetar
Vem sentando daquele jeito, pra não acabar

Pra não acabar
Pra não acabar
Pra não acabar, ei",True,,,,,
Projota,Ela Só Quer Paz (Ao Vivo),3Fs (Ao Vivo),"Ela é um filme de ação com vários finais
Ela é política aplicada em conversas banais
Ela tiver muito afim seja perspicaz
Ela nunca vai deixar claro
Então entenda sinais
É o paraíso suas curvas são cartões postais
Não tem juízo ou seja teve hoje não tem mais
Ela é o barco mais bolado que aportou no seu caís
As outras falam falam, ela chega e faz
Ela não cansa, não cansa
Não cansa jamais
Ela dança, dança
Dança demais
Ela já acreditou no amor mas não sabe mais
Ela é um disco do Nirvana de 20 anos atrás
Não quer cinco minutos no seu banco de trás
Só quer um jeans rasgado e uns 40 reais
Ela é uma letra do Caetano com flor do Racionais
Hoje pode até chover
Porque ela só quer paz
Hoje ela só quer paz
Hoje ela só quer paz
Hoje ela só quer paz
Hoje ela só quer
Notícias boas pra se ler nos jornais
Amores reais, amizades leais
Ela entende de flores, ama os animais
Coisas simples pra ela são as coisas principais
Sem cantada, ela preferi os originais
Conheceu caras legais, mas nunca sensacionais
Ela não é as suas nega rapaz
Pagar bebida é fácil, difícil apresentar pros pais
Ela vai te enlouquecer pra ver do que é capaz
Vai fazer você sentir inveja de outros casais
E você vai ver que as outras eram todas iguais
Vai querer comprar o sítio lá em Minas Gerais
Essa mina é uma daquelas fenomenais
Vitamina, é proteína e sais minerais
Ela é a vida após a vida, despedida pros seus dias
Ela não cansa, não cansa
Não cansa jamais
Ela dança, dança
Dança demais
Ela já acreditou no amor, mas não sabe mais
Ela é um disco do Nirvana de 20 anos atrás
Não quer cinco minutos no seu banco de trás
Só quer um jeans rasgados e uns 40 reais
Ela é uma letra do Caetano com flor do Racionais
Hoje pode até chover
Porque ela só quer paz
Hoje ela só quer paz
Hoje ela só quer paz
Hoje ela só quer paz
Hoje ela só quer paz",False,,,,,
Ivete Sangalo,Muito Obrigado Axé,Macaco Sessions,"Odô, axé odô, axé odô, axé odô
Odô, axé odô, axé odô, axé odô

Isso é pra te levar no Ilê
Pra te lembrar do Badauê
Pra te lembrar de lá

Isso é pra te levar no meu terreiro (isso é)
Pra te levar no candomblé (isso é)
Pra te levar no altar

Isso é pra te levar na fé
Deus é brasileiro
Muito obrigado, axé

Ilumina o Mirin Orunmilá
Na estrada que vem a cota
É um malê, é um maleme
Quem tem santo é quem entende

Quanto mais (quem tem Ogum)
Missão e paz
Quanto mais pra quem tem ideais
E os orixás

Quanto mais quem tem Ogum
Missão e paz
Quanto mais pra quem tem ideais
E os orixás (vai!)

Joga as armas pra lá
Joga, joga as armas pra lá
Joga as armas pra lá
Faz um samba

Joga as armas pra lá
Joga, joga as armas pra lá
Joga as armas pra lá
Trás orquestra

Odô, axé odô, axé odô, axé odô
Odô, axé odô, axé odô, axé odô

Isso é pra te levar no Ilê
Pra te lembrar do Badauê
Pra te lembrar de lá

Isso é pra te levar no meu terreiro (isso é)
Pra te levar no candomblé (isso é)
Pra te levar no altar

Isso é pra te levar na fé
Pois Deus é brasileiro
Muito obrigado, axé

Ilumina o Mirin Orunmilá
Na estrada que vem a cota
É um malê, é um maleme
Quem tem santo é quem entende

Quanto mais quem tem Ogum
Missão e paz
(Quanto mais) pra quem tem ideais
E os orixás

Quanto mais quem tem Ogum
Missão e paz
(Quanto mais) pra quem tem (joga, joga, joga, joga!)

Eu disse

Joga as armas pra lá
Joga, joga as armas pra lá
Joga as armas pra lá
Faz um samba

Joga as armas pra lá
Joga, joga as armas pra lá
Joga as armas pra lá
Trás orquestra

Odô, axé odô, axé odô, axé odô
Odô, axé odô, axé odô, axé odô
Odô, (axé odô) axé odô, (axé odô) odô, axé
Odô, (axé odô) axé odô, (axé odô) odô, axé

Axé!",False,,,,,
Sidoka,SE EU ABRIR MINHA SHOULDER,SHH..,"Se eu abrir minha shoulder esses polícia chora
Cheio de dinheiro, escondendo as droga
Vou levar essa bitch pra um passeio agora (ai Jesus, Dogdu)
Eu tô passando, ela passando e tá passando a hora (cê já foi preso?)

Olha o kit que ela fura
Olha o kit que ela cura
Quando que me jura, mano, me lambuza
Sente que ela tá confusa
Como que procura minha mente obscura

Tô de visão noturna
Faço drift pro cê balançar a bunda
E a segunda chance depende de quem passou

Tattoo na cara do moço
Pescoço valioso, perigoso
Do jogo, ele sabe jogar bem
Ele pega o seu copo e na bitch ele derrama codein
Tomando bala, eu completei
Miragem que eu vi, miragem não sei

Acho que eu vi
Coisa que nunca me deu pra ver
Pilota tudo de novo, ele tá
Cê tirou tudo, eu não sei te explicar
Droga na bag e cash na mochila
Tem 'Doka na tag dessa linda mina

Ela é prometazina te acalma facin'
Tudo que é droga misturo um pouquin'
No pole dance rebola pra mim
Calma, mina, vamo lá no cantin'

Por que você tá fazendo assim?
Tem coisa que aprende se vendo, não lendo
Te entendo se você desistir do fim, tá linda

Fala, bitch, quê que cê prefere?
Escapei de balas, ah
Cicatriz na pele
Quem me disse que eu nunca ia conseguir?
Não para de me seguir
Aprenda se for mentir
Que eu confesso que nóis é mau

Se eu abrir minha shoulder esses polícia chora
Cheio de dinheiro, escondendo as droga
Vou levar essa bitch pra um passeio agora
Eu tô passando, ela passando e tá passando a hora

Se eu abrir minha shoulder esses polícia chora
Cheio de dinheiro, escondendo as droga
Vou levar essa bitch pra um passeio agora
Eu tô passando, ela passando e tá passando a hora

Eu não vou perder a oportunidade
De levar o nome da minha cidade (GR)
Que Deus cuide da minha vida e do Motoca
Que trouxe algumas gramas de dry hoje

Mando de freestyle
Minha peça apontada pro meu inimigo
Eu e o Sidoka deslizando no beat (sheesh, uh)

Calma, liga pro Gucci, eu tô tendo 13 bala 380
Que eu nunca vacilo
Se eu tô em Guarulhos, São Paulo é aquilo
Blueberry na blunt dentro do estúdio
Eu vivo entre festas
Bitches, graves e oito zero oito

Em plena quarentena focado em fazer um dinheiro
Eles nunca vão entender, olha o kit que ela fura (yeah)
Eu joguei o sal na panela, porque eu tenho o molho
Porque eu sou das ruas (eu sou da rua memo')

Big drip, big gang
Dedo do meio pros verme
Forte abraço nos meus mano
Que eu troco ideia e que eu considero
Eu não vou perder a oportunidade
Eu trouxe 2 mil em nota de verdade

Se eu abrir minha shoulder esses polícia chora
Cheio de dinheiro, escondendo as droga
Vou levar essa bitch pra um passeio agora
Eu tô passando, ela passando e tá passando a hora

Se eu abrir minha shoulder esses polícia chora
Cheio de dinheiro, escondendo as droga
Vou levar essa bitch pra um passeio agora
Eu tô passando, ela passando e tá passando a hora",True,,,,,
Mc Lan,"Malokera (feat. Ludmilla, Ty Dolla $ign)","Malokera (feat. Ludmilla, Ty Dolla $ign)","Skrillex (Yeah, yo)
Skrillex!
Ludmilla (Yeah, ahn)
MC Lan, TroyBoi, Ty Dolla (Ahn)
E ele, Herbert Richers, aha (Ma-lo-ke-ra)

Vai, malokera
Vai, representa
Vai, malokera
Vai, representa

E senta que senta, que senta, que senta
Que senta, que senta, que senta
Oi, senta que senta, que senta, que senta
Que senta, que senta, que senta, ahn, ahn

Vai, malokera
Vai, representa
Vai, malokera
Vai, representa

E senta que senta, que senta, que senta
Que senta, que senta, que senta
Ai, senta que senta, que senta, que senta
Que senta, que senta, que senta, caralho (Ahn, ahn)

Booty shake, c'mon, c'mon, lady
Todas menina vai flexionando
Jogando a bundinha pra trás e pra frente, ahn
Booty shake, c'mon, c'mon, lady
Joga essa bunda encostando na tropa
Vai, joga essa bunda encostando na gente, porra

Booty shake, c'mon, c'mon, lady
Hoje você vai sentar pro patrão
E logo depois vai sentar pro gerente, porra
Booty shake, c'mon, c'mon, lady
Depois de embrazar nós vai soltar fumaça
Porque hoje nós tá numa onda diferente, então

Booty shake, c'mon, c'mon, babe
Back it up, back it up, back it up on me
Now drop it, now drop it down all the way to the ground
Twerking that thing in his face, ay
I bet that you can do that on a dick
Left to the right to the left to the right she-

I wanna knock it down, I wanna pipe it
Said she can take it, she says she can handle it
Fucking all night, baby, testing my stamina
Give you that plantain, your extra banana dick

She says I'm far from the average
Hey, put that lil' pretty thing all on my face (Ahn, ahn)
Give you that just like a steak
Brrrp, that's how my tongue go
Twerk to the sound of the bongo, seesh!

Vai, malokera
Vai, representa
Vai, malokera
Vai, representa

E senta que senta, que senta, que senta
Que senta, que senta, que senta
Oi, senta que senta, que senta, que senta (Ma-lo-ke-ra)
Que senta, que senta, que senta, ahn, ahn

Chamou de malokera, minha cintura canta
Corpão ignorante, será que tu levanta?
Porque se eu bater no chão, se eu bater no chão
Vai rolar explosão (Boom!)
Se eu bater no chão, se eu bater no chão
Vai rolar explosão, caralho!

Booty shake, c'mon, c'mon, lady
Todas menina vai flexionando
Jogando a bundinha pra trás e pra frente, ahn
Booty shake, c'mon, c'mon, lady
Joga essa bunda encostando na tropa
Vai, joga essa bunda encostando na gente, porra

Booty shake, c'mon, c'mon, lady
Hoje você vai sentar pro patrão
E logo depois vai sentar pro gerente, porra
Booty shake, c'mon, c'mon, lady
Depois de gozar nós vai soltar fumaça
Ficando bem louco de entorpecente, então

Foram me chamar, eu tô aqui
Cadê o drink e o baseado?
E o DJ bota essa porra pra tocar
Bora, que chegou a bagunceira e o caô já tá formado
Já tô louca e ninguém vai me parar
Chama a Lud, chama (Chama, chama)
Chama, deita na cama (Chama, chama)
Chama a Lud, chama, vê se não gama
Já conhece a minha fama, não pode se apaixonar

Ma-lo-ke-ra
Le petit petit polá, vem que o Lan vai te pegar
Ma-lo-ke-ra
Le petit petit polá, Skrillex vai te pegar",True,,,,,
Slipmami,A Jogada Que É Foda,Malvatrem (Deluxe),"(Oh, oh)
Yaya (oh)
A-ra, pan-pan-pan-pan-pan (oh)
(Ya-ya-ya-ya-ya)

Tem na tua direção
Resenha, tem de montão
Piranhas ouvindo meu som
Sabem que é melhor gestão (melhor gestão)...
(continuação da letra)",True,,,,,
DJ ARANA,Amenó,Rock Pesado 2,"Ei psiu (psiu)
Novinho
Por favor, por favor me ajuda
Eu tô com muito tesão
Eu preciso sentar
Por favor novinho me ajudar
Eu não quero outro
Eu quero você

Eu sentei
Foi sem capa
Mas eu sei que eu falhei
Pros meno'
Pros meno'
Eu sentei
Eu falhei mas eu sentei

Uma maravilha eu sentando
Tu gosta e pede mais
Uma maravilha eu sentando
Tu gosta e pede mais
Uma maravilha eu sentando
Tu gosta-

E pede mais
E pede mais
E pede mais
E pede mais
E pede mais
E pede mais
E pede-

E pede mais
E pede mais
E pede mais
E pede mais
E pede mais
E pede mais
E pede-
(Que isso porra?)

E pede mais
E pede mais
E pede mais
E pede mais
E pede mais
E pede mais
E pede-
Pede
Pede

Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?

(Deixa eu sentar?)
(Amenó dore)
(Deixa eu sentar?)
(Amenó dorimé)

Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Upa upa no cavalhin'

Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Upa upa no cavalhin'

Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?
Deixa eu sentar?

E pede mais
E pede mais
Upa upa no cavalhin'

E pede mais
E pede mais
E pede-
Pede
Pede
Pede

E pede mais
E pede mais
E pede-
Pede
Pede
Pede

E pede mais
E pede mais
E pede-
Pede
Pede
Pede

E pede mais
E pede mais
E pede-
Pede
Pede
Pede

Ei psiu (psiu)
Novinho
Por favor, por favor me ajuda
Eu tô com muito tesão
Eu preciso sentar
Por favor novinho me ajudar
Eu não quero outro
Eu quero você",True,,,,,
Mc Troia,Flexionando,Sunset,"Caralho, Bolado
De novo, Troinha, uma flexionada com a xota
Ai, carai
Danilo Bolado
E aí, WS!
Fudeu!

Eu sei que é isso que tu quer
Eu sei que é isso que tu gosta
Novinha, cê tá brisando no balanço da marola
Eu sei que é isso que tu quer
Eu sei que é isso que tu gosta
Novinha, cê tá brisando no balanço da marola
No Mandela ou na Gaiola
Na favela ou na orla
Vai flexionando a xota, vai flexionando a xota
No Mandela ou na Gaiola
Na favela ou na orla
Vai flexionando a xota, vai flexionando a xota

Vai flexionando a xota por cima da minha pica
Vai jogando a xota
Vai flexionando a xota por cima da minha pica
Vai jogando a xota
Vai fazendo a posição
Vai fazendo a posição
Vai fazendo a posição
Lança na mão e xereca no chão
Lança na mão e xereca no chão
Lança na mão e xereca no chão
Lança na mão e xereca no chão
Vai flexionando a xota por cima da minha pica
Vai jogando a xota
Vai flexionando a xota por cima da minha pica
Vai jogando a xota
Vai flexionando, vai flexionando, vai flexionando a xota
Vai flexionando, vai flexionando, vai flexionando a xota",True,,,,,
MC Hariel,Estouro no Norte,1 Beat 1 Letra,"Um beat Uma Letra
Então vem

Um beat Uma Letra

Quanto mais subestimado eu fui
Mas forte eu fiquei ruim eu me tornei
Muito toca atolada com a boca cagada
Falando merda como se fosse profeta

Humildade é a peça chave pra essa caminhada
E o amanhã ninguém conhece
Pra quem quer meu fim sou decepção

Eu aprendi por onde que eu passei
Cada lugar uma lei
Proibido é vacilação

No filme da minha vida
Eu não vou querer pipoca
No filme da minha vida
Eu não vou querer comédia

Na hora da vitória
Eu não quero os lagarto em volta
Superação que eu vou cantar pra minha plateia

Radiação de progresso em forma de cifra
Quero contar nota
Eu não quero contar história

O segredo do ouro
Agora é os menor que decifra
As nave do futuro agora é os menor que toca

A vida pros menor que desde sempre foi sofrida
Olhar na geladeira e ver o vazio que corta
A mente do menor que tinha fome na barriga
Então desceu pro corre pra ver se a vida melhora

Ai foi explosão no norte
A firma ficou forte
Que todas neurose todas psicose
Se transforme em milhões bem guardados no cofre

Porque foi explosão no norte
A firma ficou forte
Que todas neurose todas psicose
Se transforme em milhões bem guardados no cofre

E ai foi explosão no norte
A firma ficou forte
Que todas neurose todas psicose
Se transforme em milhões bem guardados no cofre

Porque foi explosão no norte
A firma ficou forte
Que todas neurose todas psicose
Se transforme em milhões bem guardados no cofre

Vai
Um Beat Uma Letra
Um Beat Uma Letra
Um Beat Uma Letra
Um Beat Uma Letra Vagabundo",False,,,,,
MC Kevin O Cris,Perversa,Sonho de Garoto (Deluxe),"Perversa, com essa sentada fenomenal
Nem preciso falar que essa mina é profissional
Desse jeito gostoso ela vai me fazer passar mal
Novinha malvada

Então senta, vai deixando rolar
Ô, novinha, chegou sua hora
Ela fica molhada quando me vê de meiota
Nunca fica acanhada, ela vem com a melhor forma
Melhor forma

Então vai, fica de ladinho pro pai
Fica de ladinho pro pai
Joga de ladinho pro pai
Pro pai, pro pai

Então vai
E taca a pepequinha pro pai
Taca a pepequinha pro pai
Taca a pepequinha pro pai
Pro pai, pro pai

De sainha ela vem, deixa o vestido subir
E essa mina é o trem, ela vai sentar pra mim
Ela quer, eu também, putaria vai fluir
No carona da BM, bota o balão pra subir

Então vai, fica de ladinho pro pai
Fica de ladinho pro pai
Joga de ladinho pro pai
Pro pai, pro pai

Então vai
E taca a pepequinha pro pai
Taca a pepequinha pro pai
Taca a pepequinha pro pai
Pro pai, pro pai

Eu sei que você gosta de foder sem sentimento
Então vem, safada, que hoje eu vou te penetrar
Devagarinho, vai fazendo o movimento
Pode rebolar",True,,,,,
Slipmami,Mete Ficha,Malvatrem,"Hey, ahn, Slipmami
Slip Mete Ficha, ahn, neles todo dia
Tamborzão parou, piranha

Slip Mete Ficha, me chamam assim
Não quero agradar, eu sou fiel a mim
Eu só faço a porra que eu tô afim...
(continuação da letra)",True,,,,,
Sidoka,PRECISO,SHH..,"Hey man, thank you for this track

Ligo meu contato se eu preciso
Que eu acerto bem no alvo, sou preciso
Se ela volta pra esse quarto, só decido
Tô ficando apaixonado na descida

Tanta coisa que tá simples que eu complico
Quer dinheiro na minha bag? Multiplico
Ela diz que tá comigo sem tá rico
Cê duvida que nóis pega? Não duvide

Ligo meu contato se eu preciso
Que eu acerto bem no alvo, sou preciso
Se ela volta pra esse quarto, só decido
Tô ficando apaixonado na descida

Tanta coisa que tá simples que eu complico
Quer dinheiro na minha bag? Multiplico
Ela diz que tá comigo sem tá rico
Cê duvida que nóis pega? Não duvide

Vagabundo sabe como nóis funciona
Vagabunda sabe como rotaciona
Nóis segue ligeiro pra qualquer situação
Só que o dia a dia nos proporciona, polícia fecha com outro

Aos que botou a mão no fogo por mim
Vai desfrutar do que eu conquistar
Só os que botou a mão no fogo por mim
Me diz, cê sabe o seu lugar no fim de Markov?

Pulo na bala se for na favela
Só tô pelos que tão sempre por mim
Ser verdadeiro, papo olho no olho
Rende meu conceito, é e ainda rende meu din'

Deixa essas vadia sentar
Esquece o cartão que eu vou clonar
Fala da rotina, mas não dá
Será que eu vou ter que te lembrar?

Que eu nunca aceito cheque
Mano, eu pago em espécie, aqui é os cara de oclin'
Ayy, nóis só quer o que nós merece
Então vê se me esquece, os amigo tá clean, bebê

Bitch quer saber quanto nóis recebe
Eu só falo pra firma e pros meus aliado
Hoje eu sei quem que tá do lado
A quebrada nunca vai acertar quem tá errado

Quando eu voltar no percurso aonde vários trem erra a mira
Se eles soltar nossa mão com certeza eu desço na vida
Mas me apoia, nos amigo e na família me garanto
Em qualquer lugar que eu tiver, cê não queria? Chegamo

Ligo meu contato se eu preciso
Que eu acerto bem no alvo, sou preciso
Se ela volta pra esse quarto, só decido
Tô ficando apaixonado na descida

Tanta coisa que tá simples que eu complico
Quer dinheiro na minha bag? Multiplico
Ela diz que tá comigo sem tá rico
Cê duvida que nóis pega? Não duvide

Ligo meu contato se eu preciso
Que eu acerto bem no alvo, sou preciso
Se ela volta pra esse quarto, só decido
Tô ficando apaixonado na descida

Tanta coisa que tá simples que eu complico
Quer dinheiro na minha bag? Multiplico
Ela diz que tá comigo sem tá rico
Cê duvida que nóis pega? Não duvide

SMS tá me localizando como fosse GPS
Tô te mobilizando, tô te minimizando
Tô logo otimizando minha maneira de jogar

Jogar carta, uh, o quê? Johnnie Walker? Uh
Tendo Coupe sabe o que nóis falta
Sabe que nóis joga o 12 mola, não se envolve
Mano, sobe o voucher tipo camarote, uh

Tira muita foto de mim, uh
Fala que me esquece, uh, tira o foco de mim, uh
Quando faço prece aqui não encosta nimim'
Faz aposta nimim', que ela vem o sorrisinho

Sem assinatura, quem te tortura, quem te contura
Cada morte, cada sorte, faço loucura
Como da morte, quer uma Porsche, te perfura
Tá utilizando o holofote que ela procura

Sei que tá mentindo quando mente você jura
Como você fala do presente? Só doçura
Quando eu faço o dia virar noite ela armagura
Quando eu te falo que ela é bitch, travessura

Foi tarde, foi tarde pra aprender, ah
Nunca vou render, nunca vou aprender
Eu nunca tô voltando pra essa vida se perder
Deu pra entender, só pra entender, uh

Fácil dizer
Tô passando muito, quando me veja atura
Fácil fazer
Olhando no espelho, tá se vendo como eu, eu
Olhando no espelho, tá se vendo como nós, nós (ah, yeah, yeah)

Fácil dizer
Passando muito, quando me veja atura
É fácil fazer
Quando olha no espelho, tá se vendo como eu, eu
Quando olha no espelho, tá se vendo como nós, nós
Quando olha no espelho, tá se vendo como nós

Ligo meu contato se eu preciso
Que eu acerto bem no alvo, sou preciso
Se ela volta pra esse quarto, só decido
Tô ficando apaixonado na descida

Tanta coisa que tá simples que eu complico
Quer dinheiro na minha bag? Multiplico
Ela diz que tá comigo sem tá rico
Cê duvida que nóis pega? Não duvide

Ligo meu contato se eu preciso
Que eu acerto bem no alvo, sou preciso
Se ela volta pra esse quarto, só decido
Tô ficando apaixonado na descida

Tanta coisa que tá simples que eu complico
Quer dinheiro na minha bag? Multiplico
Ela diz que tá comigo sem tá rico
Cê duvida que nóis pega? Não duvide",True,,,,,
Racionais MC's,A Escolha Que Eu Fiz,2014 - Cores & Valores,"Foi a escolha que eu fiz
Agora o sangue que escorre não apaga, não é giz
Eu vacilei, não olhei
Tinha um pé ali atrás no balcão quando enquadrei
Entrei suando, era a deixa
Cada, cada prejú, o seu é a queixa
Eu me fodi de verdade
Se pá, não vai dá, não vou ver nem as grades

Que merda é essa que eu fiz?
Eu não ouvi o meu parceiro como eu ouço o juiz, infeliz
Respire fundo, otário
Violento e desnecessário
Dói pra caralho, agora não é hora
De rezar e brisar, louco, deixa de história
Tem que ser homem, ladrão, então
Mesmo sendo massacrado no chão, né não?

Pelo barulho da moto
Aquele filho da puta me deixou feio na foto
Volto com a prova do crime na mão
Mano, tô precisando de mais um pulmão
Com vinte anos apenas
Nunca dei orgulho, só acumulo problemas, tema
Ao menos não arrastei ninguém
Se eu for pro túmulo é o mínimo que se espera de alguém

No chão por alguns reais
Missão de risco, ousadia, sabia, mas fui incapaz
De ter a calma, planejar o esquema
Agora jaz, não dá mais, sou refém do sistema
Pela sirene, fudeu
Arrancaram o capacete, um povinho me reconheceu
Cuspe na cara, chute, algema
Pior que bicho, lixo arrastado, mó cena
Se o Datena filmar e a minha estrela brilhar
Eu morro feliz, vilão vagabundo, foda-se o que esse porco diz",False,,,,,
Xamã,Ira,Pecado Capital,"Hey, Jack, não haja como um tolo
Os polícia tá lá fora, não tem mais desenrolo
A ruiva era a última cereja do bolo
A Bela e a Fera, um botando a culpa no outro
Fugimos em um Volvo
Quebramos obstáculos
Meu flow como tentáculos do polvo
A ira do meu povo
Mate Jason e ele vem pior num filme novo
Fumando cigarro na sala, coçando o ovo

Partimos lá pra passarela
A mina achou que eu ia passar ela
Eu disse: Porra, Cinderela
Vacilando na favela
Que cabeças vão cair daqui
Mas eu vou sair daqui se for por ela
Era ira, tiros e trovões
Guerras entre facções, não amarela

Cólera dos cem dragões
Monstros matam aldeões da favela
Xamã e Daniel na cova dos leões
Mil leões numa cela
Dois menor tacando pedra em caveirões
Dois menor fazendo merda, os malandrões
Qual foi desses cara que não paga o pó que usa?
A rua é suja
Tu é a Branca de Neve e os sete anões
A culpa é do Neobeats e do Índio da Yakuza
Gata, tire sua blusa e tire suas conclusões

Baby, eu não te amo mais
Infelizmente eu não te amo mais
Honey baby, baby, eu sou mau demais
Às vezes eu te amo e te odeio mais
Baby, eu não te amo mais
Infelizmente eu não te amo mais
Honey baby, baby, eu sou mau demais
Às vezes eu te amo e te odeio mais

Give it to Maria
Vamos achar Alice
Entrar na alma da Emily
Ela me leva em Dubai
Brigamos em noite de baile
Te encontro em Buenos Aires
No Cesarão ou no Antares
Eu sinto que cê quer me matar
Deixa minha cabeça esfriar
Cê tenta, mas não consegue me domar
Deixa essa poeira abaixar

Conte-me como era em Campo Grande
Como a ira do seu povo matava até Mahatma Ghandi
Hey, cês são Barbie flow de Sandy
Eu observo e aprendi como faz um flow de band'
Fugi da boyband
Levando minha vida no free hand
Em Sepetibaland o rap game é como Jumanji
Sem panela
Ah, eu sou a favela
Ah, só vou sair daqui se for por ela
Era...

Ira, ira
(Seu maluco desgraçado!)
Eu não posso me envolver nisso
Ira, ira, ira
(Cala essa boca!)
Há sete pecados, pode esperar mais cinco

Ei, fugimos dos covil de ladrões
Com lobos e cães
Tava tocando Hey Jude
O orfanato cheio demais
Tava ouvindo nas
Oh, sua bandida, me ajude

Hey, Jack, ela não me vê mais
Mas me ouve demais
E que essa ira me ilude
É que sexo é bom demais
Te achei no direct a um tempo atrás

Ela curte meus raps, meus flows sagaz
É o jutsu dos rappers transcendentais
Mataram meu povo e meus ancestrais
Peça pro universo, que a fé te traz
E a ira não deixa eu dormir em paz
Cê ama o Xamã e o Xamã não te ama mais

Give it to Maria
Vamos achar Alice
Entrar na alma da Emily

Ira, ira
(Seu maluco desgraçado!)
Eu não posso me envolver nisso
Ira, ira, ira
(Cala essa boca!)
Há sete pecados, pode esperar mais cinco",False,,,,,
